suhu_mesin,arus_R,arus_S,arus_T,tegangan_RS,tegangan_ST,tegangan_TR,suhu_lingkungan,kelembaban,kode_mpu6050,label_kondisi,label_maintenance_hari
27.53,4.66,3.233,3.813,377.67,383.66,378.53,27.33,68.66,0,0,179
28.92,3.993,3.03,2.057,378.26,380.66,380.28,26.83,65.54,0,0,151
66.37,9.015,9.845,10.436,405.01,373.83,390.08,27.43,60.55,3,3,18
66.3,11.578,11.598,11.739,377.43,381.04,368.18,26.55,68.8,4,4,1
44.76,7.717,8.991,7.96,407.69,374.07,397.49,27.61,71.58,2,2,56
26.92,2.653,2.751,4.495,380.41,377.85,373.99,28.7,53.88,0,0,131
31.23,3.127,2.297,3.869,382.96,379.43,378.87,27.53,75.59,0,0,121
34.12,5.056,6.71,5.718,375.32,387.07,384.31,26.74,71.53,1,1,77
29.1,4.33,4.02,3.843,377.65,378.42,381.8,29.13,75.37,0,0,165
27.39,2.62,4.775,3.098,380.24,380.62,378.78,28.95,54.4,0,0,170
28.79,2.479,4.37,3.849,380.25,379.06,378.01,26.55,54.02,0,0,142
28.1,2.111,2.242,4.017,377.72,377.84,382.58,28.49,56.03,0,0,122
57.74,10.61,10.7,9.578,381.9,362.34,408.1,28.98,79.49,3,3,11
28.35,2.773,4.104,2.043,386.45,380.24,378.89,28.03,63.79,0,0,177
34.09,5.998,5.144,6.369,387.96,380.1,374.06,27.95,66.1,1,1,92
27.46,3.823,2.251,3.929,380.9,380.95,382.93,28.77,74.53,0,0,158
27.06,4.937,3.506,3.365,378.89,380.76,384.0,30.03,57.82,0,0,169
27.81,3.343,2.306,2.048,380.16,380.87,380.22,27.33,69.18,0,0,151
29.08,2.707,4.141,4.621,378.01,380.5,377.63,27.75,63.6,0,0,137
71.27,11.079,11.192,11.475,407.64,345.62,346.3,29.08,64.79,4,4,5
43.69,7.944,7.981,8.694,376.61,391.67,378.99,25.91,77.53,2,2,46
56.03,10.056,10.115,10.957,392.01,374.92,383.52,27.85,59.21,3,3,22
48.68,9.07,9.646,10.088,349.24,391.09,387.61,27.94,58.34,3,3,10
34.97,5.552,6.462,5.153,373.22,374.13,383.67,27.32,66.91,1,1,79
60.78,9.41,10.484,9.105,374.67,386.22,374.88,28.87,58.03,3,3,16
25.63,2.371,2.371,3.75,380.23,378.24,382.31,26.29,71.07,0,0,171
28.5,3.977,4.967,2.795,379.24,380.29,380.1,29.49,53.45,0,0,142
30.62,2.602,4.64,2.585,381.84,381.96,376.97,28.69,69.12,0,0,171
27.79,4.405,3.399,3.085,378.88,380.96,374.75,30.55,79.81,0,0,154
28.78,2.52,4.174,3.516,378.05,377.94,381.25,27.32,75.08,0,0,129
28.62,2.464,2.904,2.747,377.27,378.58,374.85,27.69,67.0,0,0,170
39.65,7.92,7.559,7.739,390.12,361.55,387.86,26.66,53.49,2,2,44
28.65,4.91,2.066,4.408,378.64,381.94,381.99,29.37,80.0,0,0,153
28.08,2.788,4.302,4.78,381.94,376.03,379.65,27.99,53.7,0,0,147
27.01,3.203,3.052,4.319,379.14,380.76,377.25,26.55,73.42,0,0,176
26.24,4.428,3.138,2.142,376.53,379.6,378.81,28.83,66.62,0,0,144
45.63,7.349,7.757,8.686,393.51,392.93,396.64,28.31,62.45,2,2,45
27.37,2.032,2.274,3.671,379.11,379.35,381.19,27.95,66.5,0,0,146
68.77,11.62,11.663,11.836,370.82,373.12,375.4,28.19,63.86,4,4,1
43.46,8.799,8.882,8.342,388.81,374.28,399.91,29.75,57.67,2,2,39
29.56,3.094,4.531,2.585,380.48,382.51,381.58,28.97,63.33,0,0,152
26.72,2.909,4.234,4.893,380.15,377.85,382.07,27.08,50.53,0,0,174
50.8,8.406,7.043,8.262,382.35,367.94,376.69,28.0,65.78,2,2,31
33.47,6.049,6.341,5.539,385.7,381.43,379.26,26.16,52.53,1,1,88
36.84,6.37,6.416,5.72,379.33,376.16,389.61,27.34,62.26,1,1,100
42.37,7.075,8.434,8.076,379.51,363.69,380.55,27.77,72.87,2,2,36
26.5,4.701,3.994,2.316,382.25,382.86,380.98,28.46,58.21,0,0,126
28.09,4.129,2.022,3.555,380.57,380.15,378.98,26.06,78.65,0,0,161
25.06,4.759,2.934,2.627,384.35,381.4,381.58,27.36,54.93,0,0,134
50.15,8.328,7.677,8.871,380.15,382.32,389.01,29.04,76.76,2,2,57
39.09,6.466,6.017,6.984,383.71,377.39,389.43,27.07,72.5,1,1,111
27.98,2.989,3.322,4.571,376.4,381.46,380.7,28.51,69.81,0,0,148
28.14,3.568,2.071,3.241,382.08,378.31,378.77,27.39,61.88,0,0,174
27.5,3.157,4.746,4.286,377.32,380.61,380.01,27.61,67.6,0,0,162
26.69,2.309,4.19,3.162,379.92,383.0,381.14,27.22,76.45,0,0,129
39.63,6.124,6.105,5.229,380.43,380.42,374.65,27.01,69.7,1,1,105
37.55,5.396,5.288,6.999,374.47,389.81,383.82,26.44,79.91,1,1,109
45.9,10.813,9.382,10.231,369.41,372.5,378.46,29.9,75.56,3,3,8
27.81,3.07,2.784,4.84,378.22,381.44,382.81,27.76,71.42,0,0,160
28.05,2.351,3.585,2.381,381.61,379.04,385.08,28.4,53.37,0,0,170
34.76,5.537,5.985,6.673,377.44,376.14,380.85,27.64,56.53,1,1,114
43.97,7.444,8.561,7.402,379.3,379.5,371.7,28.09,58.6,2,2,40
34.21,6.119,5.559,5.698,386.74,383.56,380.93,26.55,56.77,1,1,93
47.53,7.374,7.133,8.997,373.77,390.34,375.93,27.58,59.78,2,2,31
27.56,2.661,4.776,4.604,378.55,380.0,381.67,29.45,74.15,0,0,125
26.7,3.677,3.508,2.433,379.98,376.14,378.65,26.12,57.76,0,0,132
27.78,2.078,2.856,3.662,380.47,381.91,377.03,29.66,54.65,0,0,141
30.05,3.68,3.159,3.261,378.0,379.75,380.03,28.44,79.24,0,0,133
26.4,4.477,2.18,3.129,380.01,381.61,381.29,28.25,52.6,0,0,141
26.62,3.412,2.147,2.573,383.46,379.54,382.88,28.91,64.49,0,0,143
39.58,5.781,6.818,5.058,381.51,381.01,389.5,25.99,60.98,1,1,82
28.16,2.35,2.387,3.611,382.78,379.65,380.8,28.2,51.71,0,0,142
26.84,4.018,3.591,3.988,376.88,383.64,378.73,27.03,62.19,0,0,157
69.68,10.637,9.343,10.616,363.9,387.97,407.52,29.29,66.48,3,3,13
27.62,4.789,4.844,2.208,384.47,378.23,378.85,26.49,72.69,0,0,121
27.96,4.684,2.803,3.232,382.91,381.64,380.85,27.72,62.26,0,0,126
39.55,7.858,8.171,8.042,384.35,396.72,391.34,27.48,72.39,2,2,50
28.41,2.996,4.233,2.456,380.83,379.27,378.26,28.26,68.22,0,0,133
29.83,3.569,4.623,2.13,381.15,379.27,385.68,29.63,61.18,0,0,173
28.91,2.218,4.37,2.653,375.84,382.05,381.2,29.8,60.77,0,0,151
27.78,3.83,3.147,2.914,379.04,377.19,380.74,28.43,66.35,0,0,139
58.48,9.197,9.464,10.418,384.18,384.26,383.86,28.48,57.31,3,3,15
41.79,7.937,8.183,8.774,383.09,384.88,380.78,27.52,60.12,2,2,51
34.46,5.447,6.867,5.689,386.86,381.12,374.01,26.88,72.93,1,1,84
54.09,10.58,10.279,10.707,388.28,385.14,403.7,27.58,62.24,3,3,9
46.9,7.609,7.173,7.003,362.53,392.25,378.17,27.93,51.9,2,2,52
29.28,3.795,3.805,2.194,380.08,380.91,381.83,30.73,76.44,0,0,172
51.28,10.74,10.272,9.329,375.04,354.47,371.58,26.94,62.78,3,3,16
28.39,3.657,3.797,2.823,382.73,379.02,376.0,29.43,59.11,0,0,129
38.47,7.935,7.571,8.923,370.95,373.72,377.07,28.17,68.84,2,2,46
50.61,9.73,10.071,10.577,383.78,398.92,382.35,27.58,64.31,3,3,22
27.46,4.798,4.579,4.129,378.99,385.14,375.5,28.75,57.02,0,0,162
29.23,2.18,3.553,2.373,379.34,382.09,380.93,27.81,54.7,0,0,124
30.03,2.478,4.904,4.744,376.97,379.29,377.4,25.46,75.65,0,0,123
28.29,3.296,3.158,4.069,378.23,380.46,383.47,28.06,77.29,0,0,144
42.48,8.818,8.916,7.155,381.97,361.07,383.11,26.86,54.57,2,2,42
40.63,7.528,7.855,8.466,367.5,368.07,378.16,26.18,55.73,2,2,35
26.85,4.302,2.618,2.965,381.75,381.37,379.89,27.94,69.78,0,0,130
29.84,3.532,3.431,4.505,379.79,383.26,380.27,29.41,56.89,0,0,144
26.03,2.157,2.693,4.406,381.59,379.89,382.37,28.21,61.39,0,0,140
28.9,4.265,4.017,3.594,379.65,380.39,384.03,28.64,69.47,0,0,123
29.46,2.962,2.281,3.281,382.8,376.04,379.46,29.37,59.17,0,0,172
27.06,3.779,3.613,2.014,379.61,379.21,378.66,28.75,63.4,0,0,162
58.1,10.355,10.405,10.912,348.04,344.24,391.18,26.63,53.79,3,3,18
29.45,4.528,3.087,3.981,377.18,379.73,378.75,28.14,75.5,0,0,175
26.74,3.137,3.061,2.397,378.96,380.21,384.12,27.52,62.88,0,0,152
37.53,5.941,5.315,5.062,378.86,379.29,380.68,28.73,63.67,1,1,100
29.32,2.709,3.984,3.176,381.12,382.89,378.0,28.61,50.01,0,0,175
58.73,11.241,11.208,11.25,364.47,401.56,380.48,26.61,51.09,4,4,5
68.82,11.74,11.31,11.859,388.56,360.25,420.32,28.73,50.09,4,4,3
30.17,2.028,4.426,2.778,378.58,384.23,379.17,28.64,61.84,0,0,140
26.54,4.798,3.149,4.189,380.81,382.11,379.93,27.69,58.18,0,0,124
25.17,3.391,4.664,3.365,375.76,382.47,379.34,27.97,70.31,0,0,166
27.33,3.803,2.103,3.493,380.67,379.31,379.25,27.83,57.73,0,0,168
28.04,3.22,3.38,2.893,380.17,379.12,376.38,28.2,52.57,0,0,129
32.74,5.713,6.185,6.671,381.91,372.78,383.43,30.1,65.84,1,1,90
27.73,4.908,4.172,2.636,380.63,378.68,380.87,27.49,74.13,0,0,131
28.28,3.716,4.722,2.367,379.17,382.08,380.19,28.11,52.09,0,0,177
27.74,3.436,2.517,4.257,380.22,381.71,383.17,28.16,72.16,0,0,141
56.64,10.338,9.253,10.892,394.29,385.27,372.95,28.13,68.78,3,3,26
27.28,4.674,3.517,2.231,382.09,377.39,378.41,27.05,58.11,0,0,153
28.11,3.385,2.943,3.743,382.64,378.78,383.14,25.1,68.33,0,0,147
27.97,3.873,2.396,4.269,380.97,379.46,378.97,29.06,72.49,0,0,140
69.73,11.992,11.77,11.211,356.94,340.32,380.21,27.6,64.56,4,4,4
26.8,3.434,3.414,2.527,379.13,378.74,381.59,28.8,74.38,0,0,167
31.75,6.532,6.865,6.895,380.61,375.24,378.29,27.92,63.16,1,1,69
37.49,8.521,7.841,8.887,377.29,381.93,380.27,27.73,57.34,2,2,44
27.4,4.685,4.916,4.578,378.51,379.68,379.95,27.22,76.63,0,0,148
37.88,5.736,5.286,6.392,382.51,376.68,380.32,27.69,58.54,1,1,83
28.19,4.588,2.489,4.437,379.31,380.9,379.48,26.55,79.46,0,0,129
33.14,6.966,6.85,6.571,384.99,377.26,371.43,27.1,52.38,1,1,90
33.66,5.97,5.71,5.641,373.93,380.51,381.67,27.19,72.91,1,1,66
30.83,4.978,3.977,2.151,382.61,380.22,380.15,28.62,71.67,0,0,131
26.13,4.935,2.476,3.462,379.95,382.78,377.29,26.57,61.21,0,0,175
48.6,8.34,7.144,7.513,378.29,398.3,369.05,27.69,65.8,2,2,39
26.53,2.199,4.968,2.118,377.19,378.54,383.95,27.64,68.23,0,0,143
28.75,3.208,2.624,4.44,381.63,382.44,379.34,27.78,56.46,0,0,150
24.72,2.702,2.149,2.806,380.55,380.91,384.2,29.29,60.49,0,0,167
35.11,5.85,5.256,5.246,387.65,385.21,381.51,29.48,51.27,1,1,105
44.29,5.337,6.521,6.97,378.71,381.89,383.48,26.86,55.84,1,1,60
30.41,4.195,2.462,4.567,378.05,380.07,380.38,29.93,52.98,0,0,127
26.58,2.236,3.582,3.208,380.52,378.37,380.35,29.53,75.24,0,0,164
28.02,3.739,3.857,2.849,382.6,378.22,382.77,30.06,51.85,0,0,172
31.69,5.131,6.381,6.145,384.1,371.41,373.99,26.82,59.98,1,1,95
33.4,2.214,2.269,3.301,380.49,375.58,382.17,26.87,59.14,0,0,162
32.33,6.38,5.781,5.832,383.14,368.88,377.41,28.34,56.48,1,1,76
28.97,2.55,3.295,4.453,380.15,382.45,379.46,29.5,69.34,0,0,169
61.36,10.115,9.512,10.302,365.3,381.45,364.77,29.96,64.92,3,3,15
27.31,2.282,2.872,4.951,379.85,380.39,379.09,28.11,61.2,0,0,163
29.65,3.952,3.843,3.002,379.24,380.08,382.18,28.8,54.2,0,0,165
28.67,3.633,2.024,2.285,380.05,379.89,380.44,27.57,70.36,0,0,132
57.53,10.199,10.615,9.219,378.7,355.22,364.4,28.48,65.11,3,3,24
48.39,10.734,10.905,9.81,387.26,380.1,393.18,27.33,62.45,3,3,7
29.49,4.791,4.511,4.986,376.77,382.36,380.81,29.62,73.52,0,0,171
35.96,5.649,6.442,6.316,383.42,384.43,383.66,27.52,57.78,1,1,61
45.0,8.681,8.403,8.578,364.56,369.01,362.83,28.69,73.15,2,2,38
33.86,5.836,6.497,6.923,372.12,378.76,380.71,28.61,78.37,1,1,82
30.6,3.395,3.892,3.349,378.05,380.07,377.25,29.26,50.86,0,0,141
28.43,3.893,3.049,2.878,376.76,377.79,378.95,28.78,51.13,0,0,179
29.03,2.444,4.239,2.025,375.69,380.59,377.6,28.24,70.15,0,0,162
57.43,9.789,9.003,9.24,409.87,385.89,403.86,27.43,52.23,3,3,7
57.17,10.45,10.79,9.235,374.09,394.08,361.65,27.33,77.43,3,3,24
38.09,6.681,6.695,6.543,380.96,381.19,372.09,28.79,77.06,1,1,107
25.85,3.345,2.962,4.233,378.84,379.88,380.89,27.37,71.89,0,0,127
28.41,3.042,4.043,3.119,379.43,377.85,380.38,27.05,68.1,0,0,164
34.05,5.653,6.247,5.113,380.58,379.78,377.93,27.87,56.39,1,1,75
52.89,10.512,10.28,9.24,409.7,377.36,382.52,28.95,72.57,3,3,14
59.14,10.339,9.954,10.285,394.54,381.64,373.75,26.95,70.14,3,3,11
40.39,7.063,8.453,8.672,394.59,375.33,374.76,27.04,65.83,2,2,37
42.93,6.499,6.929,5.147,382.99,391.61,383.02,27.99,58.17,1,1,99
30.57,2.508,3.862,4.157,383.21,380.94,377.97,28.22,62.43,0,0,162
26.39,2.832,4.99,4.252,382.6,377.33,382.67,27.4,50.2,0,0,123
60.54,9.959,9.032,9.184,369.79,351.83,389.07,26.37,54.34,3,3,11
32.62,6.28,5.109,5.815,382.16,383.73,380.58,27.84,78.01,1,1,97
26.69,3.627,3.582,2.423,380.47,378.56,378.82,28.23,70.23,0,0,167
28.41,4.969,3.132,3.334,379.34,382.63,379.55,30.71,70.09,0,0,147
37.42,6.923,6.205,6.119,383.43,380.61,387.36,28.14,53.09,1,1,110
28.05,4.126,2.747,2.973,383.63,382.18,378.86,28.73,68.97,0,0,154
27.84,2.865,3.915,2.86,378.46,376.83,380.0,29.18,67.44,0,0,140
25.78,3.287,3.957,4.181,380.52,379.02,378.77,28.72,57.71,0,0,152
36.35,5.042,5.446,5.113,379.21,375.41,380.46,26.44,78.22,1,1,61
35.43,5.709,5.762,5.824,384.36,378.18,388.56,25.97,62.16,1,1,89
26.21,2.377,4.441,2.107,384.16,380.72,379.79,29.24,67.05,0,0,160
32.82,5.929,6.641,6.229,379.49,379.88,386.39,26.72,75.1,1,1,66
29.12,3.537,2.406,3.713,383.46,378.03,379.55,28.96,55.94,0,0,150
27.17,3.074,2.025,4.518,377.81,380.18,381.95,27.96,56.73,0,0,165
34.1,5.777,5.832,6.493,380.14,375.45,378.7,30.85,56.3,1,1,94
30.18,5.8,5.301,6.007,375.36,378.67,386.85,28.96,79.48,1,1,113
44.84,7.798,7.831,7.816,390.87,373.23,378.67,29.61,79.76,2,2,30
35.87,5.79,5.984,6.761,378.18,385.1,368.16,28.97,73.07,1,1,60
39.78,5.894,5.946,6.287,379.23,375.26,374.28,26.87,75.6,1,1,62
28.56,2.507,4.465,4.308,380.99,376.61,382.01,27.02,60.54,0,0,125
27.79,4.995,4.667,2.145,383.92,381.68,379.09,27.63,54.23,0,0,175
30.12,4.796,2.837,4.851,381.55,380.3,378.72,28.57,77.41,0,0,175
28.75,4.64,4.999,2.732,380.96,382.92,381.29,28.15,79.48,0,0,156
64.8,11.906,11.516,11.154,390.53,382.84,384.65,28.83,68.46,4,4,2
27.06,4.261,3.342,2.929,375.95,379.61,379.0,28.83,75.16,0,0,127
49.05,9.548,9.63,9.234,390.18,366.94,369.8,29.03,72.06,3,3,10
31.87,5.607,5.691,6.982,378.96,375.65,381.36,27.36,75.18,1,1,61
53.3,7.442,8.354,8.544,372.14,403.25,374.71,27.12,57.5,2,2,39
29.0,3.009,3.767,3.363,378.39,381.38,376.88,29.42,53.28,0,0,176
34.66,5.543,6.71,5.693,380.42,377.84,389.04,27.86,78.81,1,1,96
27.75,4.08,4.404,3.193,377.66,378.56,385.56,26.96,53.68,0,0,142
25.01,4.814,2.459,2.03,377.43,381.35,378.9,26.27,62.45,0,0,139
40.7,6.465,6.372,6.667,383.12,372.87,370.96,29.18,78.54,1,1,88
29.85,4.216,4.679,3.344,378.77,375.07,381.78,27.83,67.58,0,0,125
29.65,4.928,3.597,4.716,384.12,377.12,378.97,27.87,77.32,0,0,123
34.76,5.395,6.253,6.37,382.55,381.47,378.08,27.03,58.41,1,1,101
30.59,4.193,2.727,2.515,376.33,380.52,378.24,28.3,50.87,0,0,160
51.25,9.525,10.678,9.065,375.36,420.27,392.11,27.92,70.44,3,3,12
71.53,11.064,11.396,11.964,334.91,388.29,389.11,27.32,51.09,4,4,3
63.93,9.229,9.611,10.563,386.56,360.42,369.84,28.57,61.55,3,3,24
26.71,3.207,4.35,4.888,379.57,377.97,375.35,27.64,50.59,0,0,158
27.82,4.96,3.858,3.953,380.19,378.75,378.55,26.62,57.08,0,0,174
59.51,10.461,9.081,9.19,368.51,373.08,346.21,28.34,61.85,3,3,12
26.35,3.133,2.95,4.032,378.76,381.23,376.64,29.41,63.06,0,0,130
67.56,11.947,11.468,11.875,360.28,414.34,387.94,27.34,71.8,4,4,4
67.51,11.342,11.168,11.582,363.25,387.0,331.13,27.15,66.44,4,4,5
45.77,8.405,8.585,8.258,384.73,372.19,362.55,27.08,60.8,2,2,34
27.58,3.172,4.373,4.409,380.2,378.2,381.32,29.07,57.55,0,0,155
27.61,4.943,3.841,4.381,377.55,382.85,383.1,28.88,74.46,0,0,173
40.54,8.771,8.298,7.327,379.84,368.18,384.01,28.9,75.42,2,2,53
25.39,3.324,2.054,2.224,381.0,380.02,379.1,28.2,65.63,0,0,124
28.51,4.868,4.095,2.623,380.69,379.97,379.2,27.47,60.13,0,0,141
33.52,5.837,6.017,5.954,372.23,387.83,383.7,27.59,55.16,1,1,86
52.35,10.087,10.423,9.422,364.2,398.13,395.32,27.89,72.33,3,3,27
38.34,6.239,6.606,5.864,379.03,387.36,379.89,28.71,68.24,1,1,109
31.43,5.25,5.053,5.025,381.34,383.09,381.92,29.04,51.48,1,1,93
28.69,4.557,3.645,2.592,377.7,378.07,378.7,28.04,79.99,0,0,144
33.77,5.021,6.252,6.408,385.09,381.24,380.4,27.12,54.69,1,1,76
71.35,11.437,11.397,11.744,333.99,413.2,367.39,27.39,54.82,4,4,3
26.08,3.761,2.2,4.489,377.68,383.78,381.38,28.97,52.71,0,0,147
25.45,3.818,2.269,4.878,381.84,381.37,381.45,29.65,58.26,0,0,178
52.48,9.634,10.7,10.693,397.44,395.64,373.24,25.62,63.45,3,3,12
35.58,6.961,5.701,5.904,381.87,387.28,377.04,28.44,64.2,1,1,64
37.25,5.838,6.567,5.537,381.2,379.9,371.28,27.69,50.66,1,1,87
30.21,6.281,5.828,5.54,382.99,374.32,373.79,27.68,57.84,1,1,105
26.79,4.689,3.909,4.192,378.12,378.4,381.27,27.89,78.87,0,0,143
28.45,4.704,2.811,4.411,381.73,374.58,378.56,27.08,51.57,0,0,131
46.04,8.354,8.045,8.564,384.81,376.58,369.1,28.14,77.96,2,2,42
44.66,8.441,8.532,7.183,364.26,380.81,384.77,27.51,76.96,2,2,37
41.12,7.853,7.279,7.045,367.66,381.57,390.71,28.21,70.73,2,2,51
57.77,10.574,9.233,9.72,378.12,395.06,375.94,26.9,77.7,3,3,27
29.79,3.357,3.273,2.47,379.71,382.43,375.21,28.29,61.75,0,0,167
30.84,3.866,4.906,2.285,377.11,376.6,377.73,28.25,54.09,0,0,147
44.7,8.756,8.172,8.348,390.01,385.68,390.86,29.03,74.08,2,2,36
33.38,6.691,5.231,6.939,379.42,381.87,380.1,28.16,67.81,1,1,101
36.84,5.341,6.795,6.312,382.55,379.8,385.18,27.98,59.44,1,1,66
41.68,7.404,8.905,7.888,375.29,374.92,371.19,26.81,60.34,2,2,41
54.54,10.537,10.77,9.443,377.37,350.88,344.23,28.08,70.12,3,3,8
30.4,4.542,2.029,3.209,380.48,380.81,383.42,30.47,61.0,0,0,128
30.48,4.47,4.638,3.463,379.96,378.64,380.42,28.87,62.54,0,0,175
28.49,4.733,4.979,2.318,382.4,380.02,380.12,27.73,60.36,0,0,148
33.61,5.934,5.48,6.789,372.01,382.0,380.18,28.54,63.71,1,1,94
28.83,3.82,3.813,4.481,376.72,378.9,380.53,26.3,59.18,0,0,153
28.22,3.223,3.954,4.304,381.45,380.0,381.14,27.16,66.12,0,0,153
24.84,2.611,2.467,4.641,376.07,377.04,380.0,27.46,78.83,0,0,127
27.86,2.191,2.663,3.537,380.06,378.98,380.1,27.14,71.3,0,0,174
33.73,6.067,5.288,5.018,377.58,382.31,371.86,29.06,62.5,1,1,87
25.98,3.819,3.571,2.073,382.1,378.81,379.66,30.53,77.84,0,0,127
26.51,4.485,2.969,2.712,380.06,376.55,380.04,29.69,56.44,0,0,149
45.4,8.434,8.666,8.485,402.68,391.56,390.52,28.99,71.73,2,2,41
27.55,3.211,2.644,3.068,378.33,378.89,378.28,28.85,61.58,0,0,139
27.93,2.24,2.269,3.772,380.42,377.05,383.61,28.02,65.14,0,0,134
26.99,2.449,2.312,2.371,380.46,378.32,378.75,27.24,74.96,0,0,133
40.16,7.77,8.479,7.835,374.15,374.65,383.28,27.16,67.71,2,2,57
26.75,2.21,2.079,2.783,381.78,380.17,379.93,29.21,62.34,0,0,141
32.94,5.286,6.716,5.618,385.82,383.98,389.53,27.92,60.25,1,1,67
27.9,4.894,3.528,3.883,377.25,377.76,380.0,27.56,53.8,0,0,137
30.38,2.775,3.442,4.976,379.72,381.76,380.96,28.12,54.66,0,0,173
25.74,4.0,3.816,2.261,380.21,379.19,378.99,27.75,60.72,0,0,166
25.24,2.252,4.978,2.382,381.8,382.02,377.34,29.22,67.5,0,0,164
35.37,5.123,6.311,5.017,383.35,385.62,374.44,26.98,77.61,1,1,99
35.29,6.707,5.484,6.753,377.03,380.98,382.69,27.49,65.77,1,1,116
70.89,11.497,11.144,11.92,383.07,379.63,426.07,26.64,63.63,4,4,1
28.95,4.352,4.473,4.171,379.01,379.11,380.99,26.68,77.51,0,0,147
29.96,2.402,4.015,2.013,379.45,378.66,377.49,27.44,78.0,0,0,168
36.67,7.015,7.122,7.858,386.72,367.76,376.09,28.32,58.95,2,2,31
27.56,3.796,3.509,2.156,380.09,381.39,378.17,27.53,50.62,0,0,178
28.76,4.616,4.062,2.335,375.6,379.54,377.75,28.44,56.47,0,0,174
28.49,2.251,3.449,3.542,379.57,382.5,381.96,30.57,75.18,0,0,150
28.05,4.164,2.018,3.777,384.35,379.19,381.98,26.64,55.14,0,0,162
67.34,11.668,11.609,11.644,340.71,356.69,322.86,27.22,59.43,4,4,3
42.58,7.43,8.651,8.974,388.03,362.89,384.39,28.52,73.2,2,2,58
33.05,6.75,5.053,6.124,376.83,374.31,376.93,28.57,63.52,1,1,118
28.04,3.985,3.776,4.209,379.48,378.58,380.23,28.97,61.82,0,0,168
30.4,2.796,2.505,4.082,382.73,382.12,377.23,27.26,69.46,0,0,128
29.2,2.034,4.09,3.128,384.12,376.98,381.07,28.61,68.75,0,0,170
30.81,2.29,4.855,4.372,382.01,375.97,381.66,26.91,68.9,0,0,134
26.08,3.735,3.494,3.739,377.95,378.25,377.19,28.64,52.7,0,0,176
35.74,6.541,6.234,6.197,385.09,374.25,378.69,28.2,59.17,1,1,63
27.9,6.129,5.229,6.994,381.77,370.65,375.41,28.37,50.65,1,1,85
25.66,3.562,3.175,3.731,381.88,382.83,376.33,26.28,63.68,0,0,167
69.58,11.571,11.953,11.517,370.41,384.84,412.75,27.06,78.25,4,4,2
30.9,6.422,5.591,6.162,384.37,384.46,382.12,27.58,65.15,1,1,113
35.93,5.846,6.034,5.74,382.38,384.14,383.51,29.02,73.84,1,1,82
37.57,6.495,5.882,6.467,385.05,381.78,378.08,27.9,64.64,1,1,80
28.19,4.616,2.867,2.259,383.79,379.66,381.21,26.77,53.74,0,0,175
